DATETIME,PRICE,CARRY,FORWARD,PRICE_CONTRACT,CARRY_CONTRACT,FORWARD_CONTRACT
2017-12-31 22:00:00,756.8,756.8,756.8,29991200,29991200,29991200
2018-01-01 22:00:00,861.97,861.97,861.97,29991200,29991200,29991200
2018-01-02 22:00:00,921.67,921.67,921.67,29991200,29991200,29991200
2018-01-03 22:00:00,949.79,949.79,949.79,29991200,29991200,29991200
2018-01-04 22:00:00,957.8,957.8,957.8,29991200,29991200,29991200
2018-01-07 22:00:00,1148.7,1148.7,1148.7,29991200,29991200,29991200
2018-01-08 22:00:00,1234.7,1234.7,1234.7,29991200,29991200,29991200
2018-01-09 22:00:00,1265.8,1265.8,1265.8,29991200,29991200,29991200
2018-01-10 22:00:00,1170.3,1170.3,1170.3,29991200,29991200,29991200
2018-01-11 22:00:00,1248.9,1248.9,1248.9,29991200,29991200,29991200
2018-01-14 22:00:00,1307.3,1307.3,1307.3,29991200,29991200,29991200
2018-01-15 22:00:00,928.3,928.3,928.3,29991200,29991200,29991200
2018-01-16 22:00:00,1037.8,1037.8,1037.8,29991200,29991200,29991200
2018-01-17 22:00:00,1031.8,1031.8,1031.8,29991200,29991200,29991200
2018-01-18 22:00:00,1017.9,1017.9,1017.9,29991200,29991200,29991200
2018-01-21 22:00:00,938.94,938.94,938.94,29991200,29991200,29991200
2018-01-22 22:00:00,987.01,987.01,987.01,29991200,29991200,29991200
2018-01-23 22:00:00,1035.2,1035.2,1035.2,29991200,29991200,29991200
2018-01-24 22:00:00,1057.1,1057.1,1057.1,29991200,29991200,29991200
2018-01-25 22:00:00,1030.5,1030.5,1030.5,29991200,29991200,29991200
2018-01-28 22:00:00,1170.9,1170.9,1170.9,29991200,29991200,29991200
2018-01-29 22:00:00,1074.7,1074.7,1074.7,29991200,29991200,29991200
2018-01-30 22:00:00,1099.5,1099.5,1099.5,29991200,29991200,29991200
2018-01-31 22:00:00,1032.8,1032.8,1032.8,29991200,29991200,29991200
2018-02-01 22:00:00,892.75,892.75,892.75,29991200,29991200,29991200
2018-02-04 22:00:00,717.21,717.21,717.21,29991200,29991200,29991200
2018-02-05 22:00:00,779.84,779.84,779.84,29991200,29991200,29991200
2018-02-06 22:00:00,810.63,810.63,810.63,29991200,29991200,29991200
2018-02-07 22:00:00,799.21,799.21,799.21,29991200,29991200,29991200
2018-02-08 22:00:00,854.81,854.81,854.81,29991200,29991200,29991200
2018-02-11 22:00:00,861.0,861.0,861.0,29991200,29991200,29991200
2018-02-12 22:00:00,835.01,835.01,835.01,29991200,29991200,29991200
2018-02-13 22:00:00,900.07,900.07,900.07,29991200,29991200,29991200
2018-02-14 22:00:00,913.21,913.21,913.21,29991200,29991200,29991200
2018-02-15 22:00:00,930.68,930.68,930.68,29991200,29991200,29991200
2018-02-18 22:00:00,931.12,931.12,931.12,29991200,29991200,29991200
2018-02-19 22:00:00,909.11,909.11,909.11,29991200,29991200,29991200
2018-02-20 22:00:00,818.2,818.2,818.2,29991200,29991200,29991200
2018-02-21 22:00:00,799.26,799.26,799.26,29991200,29991200,29991200
2018-02-22 22:00:00,825.09,825.09,825.09,29991200,29991200,29991200
2018-02-25 22:00:00,860.74,860.74,860.74,29991200,29991200,29991200
2018-02-26 22:00:00,876.16,876.16,876.16,29991200,29991200,29991200
2018-02-27 22:00:00,860.41,860.41,860.41,29991200,29991200,29991200
2018-02-28 22:00:00,865.73,865.73,865.73,29991200,29991200,29991200
2018-03-01 22:00:00,852.1,852.1,852.1,29991200,29991200,29991200
2018-03-04 22:00:00,850.17,850.17,850.17,29991200,29991200,29991200
2018-03-05 22:00:00,813.32,813.32,813.32,29991200,29991200,29991200
2018-03-06 22:00:00,744.44,744.44,744.44,29991200,29991200,29991200
2018-03-07 22:00:00,698.0,698.0,698.0,29991200,29991200,29991200
2018-03-08 22:00:00,694.3,694.3,694.3,29991200,29991200,29991200
2018-03-11 21:00:00,686.74,686.74,686.74,29991200,29991200,29991200
2018-03-12 21:00:00,673.29,673.29,673.29,29991200,29991200,29991200
2018-03-13 21:00:00,609.09,609.09,609.09,29991200,29991200,29991200
2018-03-14 21:00:00,599.7,599.7,599.7,29991200,29991200,29991200
2018-03-15 21:00:00,608.02,608.02,608.02,29991200,29991200,29991200
2018-03-18 21:00:00,535.39,535.39,535.39,29991200,29991200,29991200
2018-03-19 21:00:00,553.04,553.04,553.04,29991200,29991200,29991200
2018-03-20 21:00:00,553.93,553.93,553.93,29991200,29991200,29991200
2018-03-21 21:00:00,522.93,522.93,522.93,29991200,29991200,29991200
2018-03-22 21:00:00,519.44,519.44,519.44,29991200,29991200,29991200
2018-03-25 21:00:00,469.32,469.32,469.32,29991200,29991200,29991200
2018-03-26 21:00:00,454.86,454.86,454.86,29991200,29991200,29991200
2018-03-27 21:00:00,441.2,441.2,441.2,29991200,29991200,29991200
2018-03-28 21:00:00,381.1,381.1,381.1,29991200,29991200,29991200
2018-03-29 21:00:00,379.01,379.01,379.01,29991200,29991200,29991200
2018-04-01 21:00:00,372.08,372.08,372.08,29991200,29991200,29991200
2018-04-02 21:00:00,409.12,409.12,409.12,29991200,29991200,29991200
2018-04-03 21:00:00,377.13,377.13,377.13,29991200,29991200,29991200
2018-04-04 21:00:00,372.37,372.37,372.37,29991200,29991200,29991200
2018-04-05 21:00:00,363.22,363.22,363.22,29991200,29991200,29991200
2018-04-08 21:00:00,386.5,386.5,386.5,29991200,29991200,29991200
2018-04-09 21:00:00,407.0,407.0,407.0,29991200,29991200,29991200
2018-04-10 21:00:00,416.5,416.5,416.5,29991200,29991200,29991200
2018-04-11 21:00:00,463.0,463.0,463.0,29991200,29991200,29991200
2018-04-12 21:00:00,486.0,486.0,486.0,29991200,29991200,29991200
2018-04-15 21:00:00,499.0,499.0,499.0,29991200,29991200,29991200
2018-04-16 21:00:00,499.0,499.0,499.0,29991200,29991200,29991200
2018-04-17 21:00:00,519.0,519.0,519.0,29991200,29991200,29991200
2018-04-18 21:00:00,550.5,550.5,550.5,29991200,29991200,29991200
2018-04-19 21:00:00,588.75,588.75,588.75,29991200,29991200,29991200
2018-04-22 21:00:00,635.5,635.5,635.5,29991200,29991200,29991200
2018-04-23 21:00:00,702.0,702.0,702.0,29991200,29991200,29991200
2018-04-24 21:00:00,632.5,632.5,632.5,29991200,29991200,29991200
2018-04-25 21:00:00,642.5,642.5,642.5,29991200,29991200,29991200
2018-04-26 21:00:00,646.25,646.25,646.25,29991200,29991200,29991200
2018-04-29 21:00:00,669.0,669.0,669.0,29991200,29991200,29991200
2018-04-30 21:00:00,659.0,659.0,659.0,29991200,29991200,29991200
2018-05-01 21:00:00,677.5,677.5,677.5,29991200,29991200,29991200
2018-05-02 21:00:00,751.25,751.25,751.25,29991200,29991200,29991200
2018-05-03 21:00:00,781.0,781.0,781.0,29991200,29991200,29991200
2018-05-06 21:00:00,755.5,755.5,755.5,29991200,29991200,29991200
2018-05-07 21:00:00,735.5,735.5,735.5,29991200,29991200,29991200
2018-05-08 21:00:00,740.0,740.0,740.0,29991200,29991200,29991200
2018-05-09 21:00:00,734.0,734.0,734.0,29991200,29991200,29991200
2018-05-10 21:00:00,668.5,668.5,668.5,29991200,29991200,29991200
2018-05-13 21:00:00,735.5,735.5,735.5,29991200,29991200,29991200
2018-05-14 21:00:00,708.5,708.5,708.5,29991200,29991200,29991200
2018-05-15 21:00:00,692.0,692.0,692.0,29991200,29991200,29991200
2018-05-16 21:00:00,683.5,683.5,683.5,29991200,29991200,29991200
2018-05-17 21:00:00,682.0,682.0,682.0,29991200,29991200,29991200
2018-05-20 21:00:00,694.0,694.0,694.0,29991200,29991200,29991200
2018-05-21 21:00:00,651.0,651.0,651.0,29991200,29991200,29991200
2018-05-22 21:00:00,583.0,583.0,583.0,29991200,29991200,29991200
2018-05-23 21:00:00,587.0,587.0,587.0,29991200,29991200,29991200
2018-05-24 21:00:00,579.5,579.5,579.5,29991200,29991200,29991200
2018-05-27 21:00:00,520.5,520.5,520.5,29991200,29991200,29991200
2018-05-28 21:00:00,565.25,565.25,565.25,29991200,29991200,29991200
2018-05-29 21:00:00,545.0,545.0,545.0,29991200,29991200,29991200
2018-05-30 21:00:00,577.0,577.0,577.0,29991200,29991200,29991200
2018-05-31 21:00:00,561.0,561.0,561.0,29991200,29991200,29991200
2018-06-03 21:00:00,592.0,592.0,592.0,29991200,29991200,29991200
2018-06-04 21:00:00,605.0,605.0,605.0,29991200,29991200,29991200
2018-06-05 21:00:00,600.0,600.0,600.0,29991200,29991200,29991200
2018-06-06 21:00:00,599.5,599.5,599.5,29991200,29991200,29991200
2018-06-07 21:00:00,594.5,594.5,594.5,29991200,29991200,29991200
2018-06-10 21:00:00,512.5,512.5,512.5,29991200,29991200,29991200
2018-06-11 21:00:00,487.5,487.5,487.5,29991200,29991200,29991200
2018-06-12 21:00:00,466.0,466.0,466.0,29991200,29991200,29991200
2018-06-13 21:00:00,516.5,516.5,516.5,29991200,29991200,29991200
2018-06-14 21:00:00,490.5,490.5,490.5,29991200,29991200,29991200
2018-06-17 21:00:00,514.5,514.5,514.5,29991200,29991200,29991200
2018-06-19 21:00:00,529.5,529.5,529.5,29991200,29991200,29991200
2018-06-20 21:00:00,522.5,522.5,522.5,29991200,29991200,29991200
2018-06-21 21:00:00,460.0,460.0,460.0,29991200,29991200,29991200
2018-06-24 21:00:00,456.0,456.0,456.0,29991200,29991200,29991200
2018-06-25 21:00:00,438.5,438.5,438.5,29991200,29991200,29991200
2018-06-26 21:00:00,431.5,431.5,431.5,29991200,29991200,29991200
2018-06-27 21:00:00,431.0,431.0,431.0,29991200,29991200,29991200
2018-06-28 21:00:00,410.0,410.0,410.0,29991200,29991200,29991200
2018-07-01 21:00:00,472.5,472.5,472.5,29991200,29991200,29991200
2018-07-02 21:00:00,466.5,466.5,466.5,29991200,29991200,29991200
2018-07-03 21:00:00,471.5,471.5,471.5,29991200,29991200,29991200
2018-07-04 21:00:00,460.0,460.0,460.0,29991200,29991200,29991200
2018-07-05 21:00:00,465.5,465.5,465.5,29991200,29991200,29991200
2018-07-08 21:00:00,473.0,473.0,473.0,29991200,29991200,29991200
2018-07-09 21:00:00,438.0,438.0,438.0,29991200,29991200,29991200
2018-07-10 21:00:00,435.0,435.0,435.0,29991200,29991200,29991200
2018-07-11 21:00:00,424.5,424.5,424.5,29991200,29991200,29991200
2018-07-12 21:00:00,427.0,427.0,427.0,29991200,29991200,29991200
2018-07-15 21:00:00,473.5,473.5,473.5,29991200,29991200,29991200
2018-07-16 21:00:00,497.0,497.0,497.0,29991200,29991200,29991200
2018-07-17 21:00:00,471.5,471.5,471.5,29991200,29991200,29991200
2018-07-18 21:00:00,464.5,464.5,464.5,29991200,29991200,29991200
2018-07-19 21:00:00,442.5,442.5,442.5,29991200,29991200,29991200
2018-07-22 21:00:00,445.0,445.0,445.0,29991200,29991200,29991200
2018-07-23 21:00:00,470.0,470.0,470.0,29991200,29991200,29991200
2018-07-24 21:00:00,473.0,473.0,473.0,29991200,29991200,29991200
2018-07-25 21:00:00,469.5,469.5,469.5,29991200,29991200,29991200
2018-07-26 21:00:00,465.0,465.0,465.0,29991200,29991200,29991200
2018-07-29 21:00:00,451.24,451.24,451.24,29991200,29991200,29991200
