DATETIME,PRICE,CARRY,FORWARD,PRICE_CONTRACT,CARRY_CONTRACT,FORWARD_CONTRACT
2018-01-01 00:00:00,728.47,728.47,728.47,29991200,29991200,29991200
2018-01-01 01:00:00,719.81,719.81,719.81,29991200,29991200,29991200
2018-01-01 02:00:00,719.79,719.79,719.79,29991200,29991200,29991200
2018-01-01 03:00:00,729.22,729.22,729.22,29991200,29991200,29991200
2018-01-01 04:00:00,740.86,740.86,740.86,29991200,29991200,29991200
2018-01-01 05:00:00,743.65,743.65,743.65,29991200,29991200,29991200
2018-01-01 06:00:00,757.82,757.82,757.82,29991200,29991200,29991200
2018-01-01 07:00:00,751.6,751.6,751.6,29991200,29991200,29991200
2018-01-01 08:00:00,738.62,738.62,738.62,29991200,29991200,29991200
2018-01-01 09:00:00,746.92,746.92,746.92,29991200,29991200,29991200
2018-01-01 10:00:00,752.85,752.85,752.85,29991200,29991200,29991200
2018-01-01 11:00:00,736.98,736.98,736.98,29991200,29991200,29991200
2018-01-01 12:00:00,741.13,741.13,741.13,29991200,29991200,29991200
2018-01-01 13:00:00,732.8,732.8,732.8,29991200,29991200,29991200
2018-01-01 14:00:00,734.82,734.82,734.82,29991200,29991200,29991200
2018-01-01 15:00:00,742.16,742.16,742.16,29991200,29991200,29991200
2018-01-01 16:00:00,733.31,733.31,733.31,29991200,29991200,29991200
2018-01-01 17:00:00,733.8,733.8,733.8,29991200,29991200,29991200
2018-01-01 18:00:00,735.55,735.55,735.55,29991200,29991200,29991200
2018-01-01 19:00:00,741.99,741.99,741.99,29991200,29991200,29991200
2018-01-01 20:00:00,752.96,752.96,752.96,29991200,29991200,29991200
2018-01-01 21:00:00,756.8,756.8,756.8,29991200,29991200,29991200
2018-01-01 22:00:00,750.27,750.27,750.27,29991200,29991200,29991200
2018-01-01 23:00:00,750.26,750.26,750.26,29991200,29991200,29991200
2018-01-02 00:00:00,782.79,782.79,782.79,29991200,29991200,29991200
2018-01-02 01:00:00,841.58,841.58,841.58,29991200,29991200,29991200
2018-01-02 02:00:00,854.65,854.65,854.65,29991200,29991200,29991200
2018-01-02 03:00:00,816.78,816.78,816.78,29991200,29991200,29991200
2018-01-02 04:00:00,825.1,825.1,825.1,29991200,29991200,29991200
2018-01-02 05:00:00,834.68,834.68,834.68,29991200,29991200,29991200
2018-01-02 06:00:00,840.78,840.78,840.78,29991200,29991200,29991200
2018-01-02 07:00:00,841.69,841.69,841.69,29991200,29991200,29991200
2018-01-02 08:00:00,832.86,832.86,832.86,29991200,29991200,29991200
2018-01-02 09:00:00,835.81,835.81,835.81,29991200,29991200,29991200
2018-01-02 10:00:00,847.42,847.42,847.42,29991200,29991200,29991200
2018-01-02 11:00:00,844.16,844.16,844.16,29991200,29991200,29991200
2018-01-02 12:00:00,842.81,842.81,842.81,29991200,29991200,29991200
