DATETIME,PRICE,CARRY,FORWARD,PRICE_CONTRACT,CARRY_CONTRACT,FORWARD_CONTRACT
2018-01-01 22:00:00,112.589,112.589,112.589,29991200,29991200,29991200
2018-01-01 23:00:00,112.772,112.772,112.772,29991200,29991200,29991200
2018-01-02 00:00:00,112.736,112.736,112.736,29991200,29991200,29991200
2018-01-02 01:00:00,112.723,112.723,112.723,29991200,29991200,29991200
2018-01-02 02:00:00,112.715,112.715,112.715,29991200,29991200,29991200
2018-01-02 03:00:00,112.701,112.701,112.701,29991200,29991200,29991200
2018-01-02 04:00:00,112.709,112.709,112.709,29991200,29991200,29991200
2018-01-02 05:00:00,112.686,112.686,112.686,29991200,29991200,29991200
2018-01-02 06:00:00,112.668,112.668,112.668,29991200,29991200,29991200
2018-01-02 07:00:00,112.631,112.631,112.631,29991200,29991200,29991200
2018-01-02 08:00:00,112.387,112.387,112.387,29991200,29991200,29991200
2018-01-02 09:00:00,112.25,112.25,112.25,29991200,29991200,29991200
2018-01-02 10:00:00,112.139,112.139,112.139,29991200,29991200,29991200
2018-01-02 11:00:00,112.232,112.232,112.232,29991200,29991200,29991200
2018-01-02 12:00:00,112.162,112.162,112.162,29991200,29991200,29991200
2018-01-02 13:00:00,112.125,112.125,112.125,29991200,29991200,29991200
2018-01-02 14:00:00,112.231,112.231,112.231,29991200,29991200,29991200
2018-01-02 15:00:00,112.147,112.147,112.147,29991200,29991200,29991200
2018-01-02 16:00:00,112.171,112.171,112.171,29991200,29991200,29991200
2018-01-02 17:00:00,112.285,112.285,112.285,29991200,29991200,29991200
2018-01-02 18:00:00,112.338,112.338,112.338,29991200,29991200,29991200
2018-01-02 19:00:00,112.258,112.258,112.258,29991200,29991200,29991200
2018-01-02 20:00:00,112.273,112.273,112.273,29991200,29991200,29991200
2018-01-02 21:00:00,112.287,112.287,112.287,29991200,29991200,29991200
2018-01-02 22:00:00,112.227,112.227,112.227,29991200,29991200,29991200
2018-01-02 23:00:00,112.256,112.256,112.256,29991200,29991200,29991200
2018-01-03 00:00:00,112.338,112.338,112.338,29991200,29991200,29991200
2018-01-03 01:00:00,112.318,112.318,112.318,29991200,29991200,29991200
2018-01-03 02:00:00,112.381,112.381,112.381,29991200,29991200,29991200
2018-01-03 03:00:00,112.341,112.341,112.341,29991200,29991200,29991200
2018-01-03 04:00:00,112.325,112.325,112.325,29991200,29991200,29991200
2018-01-03 05:00:00,112.278,112.278,112.278,29991200,29991200,29991200
2018-01-03 06:00:00,112.302,112.302,112.302,29991200,29991200,29991200
2018-01-03 07:00:00,112.353,112.353,112.353,29991200,29991200,29991200
2018-01-03 08:00:00,112.345,112.345,112.345,29991200,29991200,29991200
2018-01-03 09:00:00,112.299,112.299,112.299,29991200,29991200,29991200
2018-01-03 10:00:00,112.249,112.249,112.249,29991200,29991200,29991200
2018-01-03 11:00:00,112.235,112.235,112.235,29991200,29991200,29991200
2018-01-03 12:00:00,112.259,112.259,112.259,29991200,29991200,29991200
2018-01-03 13:00:00,112.228,112.228,112.228,29991200,29991200,29991200
2018-01-03 14:00:00,112.225,112.225,112.225,29991200,29991200,29991200
2018-01-03 15:00:00,112.396,112.396,112.396,29991200,29991200,29991200
2018-01-03 16:00:00,112.288,112.288,112.288,29991200,29991200,29991200
2018-01-03 17:00:00,112.332,112.332,112.332,29991200,29991200,29991200
2018-01-03 18:00:00,112.316,112.316,112.316,29991200,29991200,29991200
2018-01-03 19:00:00,112.527,112.527,112.527,29991200,29991200,29991200
2018-01-03 20:00:00,112.462,112.462,112.462,29991200,29991200,29991200
2018-01-03 21:00:00,112.51,112.51,112.51,29991200,29991200,29991200
2018-01-03 22:00:00,112.544,112.544,112.544,29991200,29991200,29991200
2018-01-03 23:00:00,112.608,112.608,112.608,29991200,29991200,29991200
2018-01-04 00:00:00,112.684,112.684,112.684,29991200,29991200,29991200
2018-01-04 01:00:00,112.728,112.728,112.728,29991200,29991200,29991200
2018-01-04 02:00:00,112.646,112.646,112.646,29991200,29991200,29991200
2018-01-04 03:00:00,112.664,112.664,112.664,29991200,29991200,29991200
2018-01-04 04:00:00,112.653,112.653,112.653,29991200,29991200,29991200
2018-01-04 05:00:00,112.662,112.662,112.662,29991200,29991200,29991200
2018-01-04 06:00:00,112.539,112.539,112.539,29991200,29991200,29991200
2018-01-04 07:00:00,112.581,112.581,112.581,29991200,29991200,29991200
2018-01-04 08:00:00,112.621,112.621,112.621,29991200,29991200,29991200
2018-01-04 09:00:00,112.546,112.546,112.546,29991200,29991200,29991200
2018-01-04 10:00:00,112.561,112.561,112.561,29991200,29991200,29991200
2018-01-04 11:00:00,112.602,112.602,112.602,29991200,29991200,29991200
2018-01-04 12:00:00,112.622,112.622,112.622,29991200,29991200,29991200
2018-01-04 13:00:00,112.828,112.828,112.828,29991200,29991200,29991200
2018-01-04 14:00:00,112.82,112.82,112.82,29991200,29991200,29991200
2018-01-04 15:00:00,112.773,112.773,112.773,29991200,29991200,29991200
2018-01-04 16:00:00,112.79,112.79,112.79,29991200,29991200,29991200
2018-01-04 17:00:00,112.765,112.765,112.765,29991200,29991200,29991200
2018-01-04 18:00:00,112.825,112.825,112.825,29991200,29991200,29991200
2018-01-04 19:00:00,112.75,112.75,112.75,29991200,29991200,29991200
2018-01-04 20:00:00,112.731,112.731,112.731,29991200,29991200,29991200
2018-01-04 21:00:00,112.749,112.749,112.749,29991200,29991200,29991200
2018-01-04 22:00:00,112.776,112.776,112.776,29991200,29991200,29991200
2018-01-04 23:00:00,112.801,112.801,112.801,29991200,29991200,29991200
2018-01-05 00:00:00,112.77,112.77,112.77,29991200,29991200,29991200
2018-01-05 01:00:00,112.774,112.774,112.774,29991200,29991200,29991200
2018-01-05 02:00:00,112.846,112.846,112.846,29991200,29991200,29991200
2018-01-05 03:00:00,112.832,112.832,112.832,29991200,29991200,29991200
2018-01-05 04:00:00,112.879,112.879,112.879,29991200,29991200,29991200
2018-01-05 05:00:00,112.997,112.997,112.997,29991200,29991200,29991200
2018-01-05 06:00:00,113.081,113.081,113.081,29991200,29991200,29991200
2018-01-05 07:00:00,113.146,113.146,113.146,29991200,29991200,29991200
2018-01-05 08:00:00,113.212,113.212,113.212,29991200,29991200,29991200
2018-01-05 09:00:00,113.224,113.224,113.224,29991200,29991200,29991200
2018-01-05 10:00:00,113.234,113.234,113.234,29991200,29991200,29991200
2018-01-05 11:00:00,113.232,113.232,113.232,29991200,29991200,29991200
2018-01-05 12:00:00,113.239,113.239,113.239,29991200,29991200,29991200
2018-01-05 13:00:00,113.215,113.215,113.215,29991200,29991200,29991200
2018-01-05 14:00:00,113.257,113.257,113.257,29991200,29991200,29991200
2018-01-05 15:00:00,113.23,113.23,113.23,29991200,29991200,29991200
2018-01-05 16:00:00,113.184,113.184,113.184,29991200,29991200,29991200
2018-01-05 17:00:00,113.159,113.159,113.159,29991200,29991200,29991200
2018-01-05 18:00:00,113.166,113.166,113.166,29991200,29991200,29991200
2018-01-05 19:00:00,113.141,113.141,113.141,29991200,29991200,29991200
2018-01-05 20:00:00,113.108,113.108,113.108,29991200,29991200,29991200
2018-01-05 21:00:00,113.055,113.055,113.055,29991200,29991200,29991200
2018-01-07 22:00:00,113.116,113.116,113.116,29991200,29991200,29991200
2018-01-07 23:00:00,113.159,113.159,113.159,29991200,29991200,29991200
2018-01-08 00:00:00,113.096,113.096,113.096,29991200,29991200,29991200
2018-01-08 01:00:00,113.13,113.13,113.13,29991200,29991200,29991200
2018-01-08 02:00:00,113.179,113.179,113.179,29991200,29991200,29991200
2018-01-08 03:00:00,113.179,113.179,113.179,29991200,29991200,29991200
2018-01-08 04:00:00,113.198,113.198,113.198,29991200,29991200,29991200
2018-01-08 05:00:00,113.231,113.231,113.231,29991200,29991200,29991200
2018-01-08 06:00:00,113.211,113.211,113.211,29991200,29991200,29991200
2018-01-08 07:00:00,113.372,113.372,113.372,29991200,29991200,29991200
2018-01-08 08:00:00,113.24,113.24,113.24,29991200,29991200,29991200
2018-01-08 09:00:00,113.16,113.16,113.16,29991200,29991200,29991200
2018-01-08 10:00:00,113.124,113.124,113.124,29991200,29991200,29991200
2018-01-08 11:00:00,113.105,113.105,113.105,29991200,29991200,29991200
2018-01-08 12:00:00,113.06,113.06,113.06,29991200,29991200,29991200
2018-01-08 13:00:00,112.928,112.928,112.928,29991200,29991200,29991200
2018-01-08 14:00:00,112.978,112.978,112.978,29991200,29991200,29991200
2018-01-08 15:00:00,112.976,112.976,112.976,29991200,29991200,29991200
2018-01-08 16:00:00,113.079,113.079,113.079,29991200,29991200,29991200
2018-01-08 17:00:00,113.083,113.083,113.083,29991200,29991200,29991200
2018-01-08 18:00:00,113.06,113.06,113.06,29991200,29991200,29991200
2018-01-08 19:00:00,113.07,113.07,113.07,29991200,29991200,29991200
2018-01-08 20:00:00,113.062,113.062,113.062,29991200,29991200,29991200
2018-01-08 21:00:00,113.09,113.09,113.09,29991200,29991200,29991200
2018-01-08 22:00:00,113.153,113.153,113.153,29991200,29991200,29991200
2018-01-08 23:00:00,113.149,113.149,113.149,29991200,29991200,29991200
2018-01-09 00:00:00,113.126,113.126,113.126,29991200,29991200,29991200
