DATETIME,PRICE,CARRY,FORWARD,PRICE_CONTRACT,CARRY_CONTRACT,FORWARD_CONTRACT
2018-01-01 23:00:00,1306.8,1306.8,1306.8,29991200,29991200,29991200
2018-01-02 00:00:00,1306.35,1306.35,1306.35,29991200,29991200,29991200
2018-01-02 01:00:00,1306.21,1306.21,1306.21,29991200,29991200,29991200
2018-01-02 02:00:00,1306.01,1306.01,1306.01,29991200,29991200,29991200
2018-01-02 03:00:00,1306.48,1306.48,1306.48,29991200,29991200,29991200
2018-01-02 04:00:00,1307.22,1307.22,1307.22,29991200,29991200,29991200
2018-01-02 05:00:00,1307.43,1307.43,1307.43,29991200,29991200,29991200
2018-01-02 06:00:00,1309.96,1309.96,1309.96,29991200,29991200,29991200
2018-01-02 07:00:00,1309.45,1309.45,1309.45,29991200,29991200,29991200
2018-01-02 08:00:00,1310.29,1310.29,1310.29,29991200,29991200,29991200
2018-01-02 09:00:00,1312.3,1312.3,1312.3,29991200,29991200,29991200
2018-01-02 10:00:00,1311.91,1311.91,1311.91,29991200,29991200,29991200
2018-01-02 11:00:00,1310.23,1310.23,1310.23,29991200,29991200,29991200
2018-01-02 12:00:00,1312.13,1312.13,1312.13,29991200,29991200,29991200
2018-01-02 13:00:00,1313.95,1313.95,1313.95,29991200,29991200,29991200
2018-01-02 14:00:00,1312.7,1312.7,1312.7,29991200,29991200,29991200
2018-01-02 15:00:00,1312.28,1312.28,1312.28,29991200,29991200,29991200
2018-01-02 16:00:00,1311.32,1311.32,1311.32,29991200,29991200,29991200
2018-01-02 17:00:00,1312.5,1312.5,1312.5,29991200,29991200,29991200
2018-01-02 18:00:00,1314.57,1314.57,1314.57,29991200,29991200,29991200
2018-01-02 19:00:00,1316.0,1316.0,1316.0,29991200,29991200,29991200
2018-01-02 20:00:00,1318.33,1318.33,1318.33,29991200,29991200,29991200
2018-01-02 21:00:00,1317.41,1317.41,1317.41,29991200,29991200,29991200
2018-01-02 23:00:00,1320.3,1320.3,1320.3,29991200,29991200,29991200
2018-01-03 00:00:00,1320.63,1320.63,1320.63,29991200,29991200,29991200
2018-01-03 01:00:00,1318.29,1318.29,1318.29,29991200,29991200,29991200
2018-01-03 02:00:00,1312.28,1312.28,1312.28,29991200,29991200,29991200
2018-01-03 03:00:00,1314.15,1314.15,1314.15,29991200,29991200,29991200
2018-01-03 04:00:00,1313.66,1313.66,1313.66,29991200,29991200,29991200
2018-01-03 05:00:00,1314.67,1314.67,1314.67,29991200,29991200,29991200
2018-01-03 06:00:00,1313.25,1313.25,1313.25,29991200,29991200,29991200
2018-01-03 07:00:00,1313.71,1313.71,1313.71,29991200,29991200,29991200
2018-01-03 08:00:00,1314.41,1314.41,1314.41,29991200,29991200,29991200
2018-01-03 09:00:00,1314.68,1314.68,1314.68,29991200,29991200,29991200
2018-01-03 10:00:00,1314.08,1314.08,1314.08,29991200,29991200,29991200
2018-01-03 11:00:00,1315.72,1315.72,1315.72,29991200,29991200,29991200
2018-01-03 12:00:00,1314.86,1314.86,1314.86,29991200,29991200,29991200
2018-01-03 13:00:00,1316.43,1316.43,1316.43,29991200,29991200,29991200
2018-01-03 14:00:00,1316.95,1316.95,1316.95,29991200,29991200,29991200
2018-01-03 15:00:00,1316.56,1316.56,1316.56,29991200,29991200,29991200
2018-01-03 16:00:00,1317.05,1317.05,1317.05,29991200,29991200,29991200
2018-01-03 17:00:00,1315.84,1315.84,1315.84,29991200,29991200,29991200
2018-01-03 18:00:00,1316.23,1316.23,1316.23,29991200,29991200,29991200
