DATETIME,PRICE,CARRY,FORWARD,PRICE_CONTRACT,CARRY_CONTRACT,FORWARD_CONTRACT
2018-01-01 22:00:00,1.20155,1.20155,1.20155,29991200,29991200,29991200
2018-01-02 02:00:00,1.20246,1.20246,1.20246,29991200,29991200,29991200
2018-01-02 06:00:00,1.20704,1.20704,1.20704,29991200,29991200,29991200
2018-01-02 10:00:00,1.20575,1.20575,1.20575,29991200,29991200,29991200
2018-01-02 14:00:00,1.20447,1.20447,1.20447,29991200,29991200,29991200
2018-01-02 18:00:00,1.20586,1.20586,1.20586,29991200,29991200,29991200
2018-01-02 22:00:00,1.2053,1.2053,1.2053,29991200,29991200,29991200
2018-01-03 02:00:00,1.20583,1.20583,1.20583,29991200,29991200,29991200
2018-01-03 06:00:00,1.20383,1.20383,1.20383,29991200,29991200,29991200
2018-01-03 10:00:00,1.20329,1.20329,1.20329,29991200,29991200,29991200
2018-01-03 14:00:00,1.20273,1.20273,1.20273,29991200,29991200,29991200
2018-01-03 18:00:00,1.20144,1.20144,1.20144,29991200,29991200,29991200
2018-01-03 22:00:00,1.20078,1.20078,1.20078,29991200,29991200,29991200
2018-01-04 02:00:00,1.2019,1.2019,1.2019,29991200,29991200,29991200
2018-01-04 06:00:00,1.20433,1.20433,1.20433,29991200,29991200,29991200
2018-01-04 10:00:00,1.20621,1.20621,1.20621,29991200,29991200,29991200
2018-01-04 14:00:00,1.20745,1.20745,1.20745,29991200,29991200,29991200
2018-01-04 18:00:00,1.20677,1.20677,1.20677,29991200,29991200,29991200
2018-01-04 22:00:00,1.20722,1.20722,1.20722,29991200,29991200,29991200
2018-01-05 02:00:00,1.20716,1.20716,1.20716,29991200,29991200,29991200
2018-01-05 06:00:00,1.20455,1.20455,1.20455,29991200,29991200,29991200
2018-01-05 10:00:00,1.2052,1.2052,1.2052,29991200,29991200,29991200
2018-01-05 14:00:00,1.20471,1.20471,1.20471,29991200,29991200,29991200
2018-01-05 18:00:00,1.20291,1.20291,1.20291,29991200,29991200,29991200
2018-01-07 22:00:00,1.20445,1.20445,1.20445,29991200,29991200,29991200
2018-01-08 02:00:00,1.20198,1.20198,1.20198,29991200,29991200,29991200
2018-01-08 06:00:00,1.19897,1.19897,1.19897,29991200,29991200,29991200
2018-01-08 10:00:00,1.19701,1.19701,1.19701,29991200,29991200,29991200
