,US500,NAS100
1871-01-02,,
1871-01-03,,
1871-01-04,,
1871-01-05,,
1871-01-06,,
1871-01-09,,
1871-01-10,,
1871-01-11,,
1871-01-12,,
1871-01-13,,
1871-01-16,,
1871-01-17,,
1871-01-18,,
1871-01-19,,
1871-01-20,,
1871-01-23,,
1871-01-24,,
1871-01-25,,
1871-01-26,,
1871-01-27,,
1871-01-30,,
1871-01-31,,
1871-02-01,5.777777777777779,5.777777777777779
1871-02-02,5.777777777777779,5.777777777777779
1871-02-03,5.777777777777779,5.777777777777779
1871-02-06,5.777777777777779,5.777777777777779
1871-02-07,5.777777777777779,5.777777777777779
1871-02-08,5.777777777777779,5.777777777777779
1871-02-09,5.777777777777779,5.777777777777779
1871-02-10,5.777777777777779,5.777777777777779
1871-02-13,5.777777777777779,5.777777777777779
1871-02-14,5.777777777777779,5.777777777777779
1871-02-15,5.777777777777779,5.777777777777779
1871-02-16,5.777777777777779,5.777777777777779
1871-02-17,5.777777777777779,5.777777777777779
1871-02-20,5.777777777777779,5.777777777777779
1871-02-21,5.777777777777779,5.777777777777779
1871-02-22,5.777777777777779,5.777777777777779
1871-02-23,5.777777777777779,5.777777777777779
1871-02-24,5.777777777777779,5.777777777777779
1871-02-27,5.777777777777779,5.777777777777779
1871-02-28,5.777777777777779,5.777777777777779
1871-03-01,5.639913232104121,5.639913232104121
1871-03-02,5.639913232104121,5.639913232104121
1871-03-03,5.639913232104121,5.639913232104121
1871-03-06,5.639913232104121,5.639913232104121
1871-03-07,5.639913232104121,5.639913232104121
1871-03-08,5.639913232104121,5.639913232104121
1871-03-09,5.639913232104121,5.639913232104121
1871-03-10,5.639913232104121,5.639913232104121
1871-03-13,5.639913232104121,5.639913232104121
1871-03-14,5.639913232104121,5.639913232104121
1871-03-15,5.639913232104121,5.639913232104121
1871-03-16,5.639913232104121,5.639913232104121
1871-03-17,5.639913232104121,5.639913232104121
1871-03-20,5.639913232104121,5.639913232104121
1871-03-21,5.639913232104121,5.639913232104121
1871-03-22,5.639913232104121,5.639913232104121
1871-03-23,5.639913232104121,5.639913232104121
1871-03-24,5.639913232104121,5.639913232104121
1871-03-27,5.639913232104121,5.639913232104121
1871-03-28,5.639913232104121,5.639913232104121
1871-03-29,5.639913232104121,5.639913232104121
1871-03-30,5.639913232104121,5.639913232104121
1871-03-31,5.639913232104121,5.639913232104121
1871-04-03,5.639913232104121,5.639913232104121
1871-04-04,5.639913232104121,5.639913232104121
1871-04-05,5.639913232104121,5.639913232104121
1871-04-06,5.639913232104121,5.639913232104121
1871-04-07,5.639913232104121,5.639913232104121
1871-04-10,5.639913232104121,5.639913232104121
1871-04-11,5.639913232104121,5.639913232104121
1871-04-12,5.639913232104121,5.639913232104121
1871-04-13,5.639913232104121,5.639913232104121
1871-04-14,5.639913232104121,5.639913232104121
1871-04-17,5.639913232104121,5.639913232104121
1871-04-18,5.639913232104121,5.639913232104121
1871-04-19,5.639913232104121,5.639913232104121
1871-04-20,5.639913232104121,5.639913232104121
1871-04-21,5.639913232104121,5.639913232104121
1871-04-24,5.639913232104121,5.639913232104121
1871-04-25,5.639913232104121,5.639913232104121
1871-04-26,5.639913232104121,5.639913232104121
1871-04-27,5.639913232104121,5.639913232104121
1871-04-28,5.639913232104121,5.639913232104121
1871-05-01,5.349794238683128,5.349794238683128
1871-05-02,5.349794238683128,5.349794238683128
1871-05-03,5.349794238683128,5.349794238683128
1871-05-04,5.349794238683128,5.349794238683128
1871-05-05,5.349794238683128,5.349794238683128
1871-05-08,5.349794238683128,5.349794238683128
1871-05-09,5.349794238683128,5.349794238683128
1871-05-10,5.349794238683128,5.349794238683128
1871-05-11,5.349794238683128,5.349794238683128
1871-05-12,5.349794238683128,5.349794238683128
1871-05-15,5.349794238683128,5.349794238683128
1871-05-16,5.349794238683128,5.349794238683128
1871-05-17,5.349794238683128,5.349794238683128
1871-05-18,5.349794238683128,5.349794238683128
1871-05-19,5.349794238683128,5.349794238683128
1871-05-22,5.349794238683128,5.349794238683128
1871-05-23,5.349794238683128,5.349794238683128
1871-05-24,5.349794238683128,5.349794238683128
1871-05-25,5.349794238683128,5.349794238683128
1871-05-26,5.349794238683128,5.349794238683128
1871-05-29,5.349794238683128,5.349794238683128
1871-05-30,5.349794238683128,5.349794238683128
1871-05-31,5.349794238683128,5.349794238683128
1871-06-01,5.394190871369294,5.394190871369294
1871-06-02,5.394190871369294,5.394190871369294
1871-06-05,5.394190871369294,5.394190871369294
1871-06-06,5.394190871369294,5.394190871369294
1871-06-07,5.394190871369294,5.394190871369294
1871-06-08,5.394190871369294,5.394190871369294
1871-06-09,5.394190871369294,5.394190871369294
1871-06-12,5.394190871369294,5.394190871369294
1871-06-13,5.394190871369294,5.394190871369294
1871-06-14,5.394190871369294,5.394190871369294
1871-06-15,5.394190871369294,5.394190871369294
1871-06-16,5.394190871369294,5.394190871369294
1871-06-19,5.394190871369294,5.394190871369294
1871-06-20,5.394190871369294,5.394190871369294
1871-06-21,5.394190871369294,5.394190871369294
1871-06-22,5.394190871369294,5.394190871369294
1871-06-23,5.394190871369294,5.394190871369294
1871-06-26,5.394190871369294,5.394190871369294
1871-06-27,5.394190871369294,5.394190871369294
1871-06-28,5.394190871369294,5.394190871369294
1871-06-29,5.394190871369294,5.394190871369294
1871-06-30,5.394190871369294,5.394190871369294
1871-07-03,5.394190871369294,5.394190871369294
