,USD,GBP,JPY,AUD,CAD,EUR
1954-07-01,0.8,,,,,
1954-07-02,0.8,,,,,
1954-07-05,0.8,,,,,
1954-07-06,0.8,,,,,
1954-07-07,0.8,,,,,
1954-07-08,0.8,,,,,
1954-07-09,0.8,,,,,
1954-07-12,0.8,,,,,
1954-07-13,0.8,,,,,
1954-07-14,0.8,,,,,
1954-07-15,0.8,,,,,
1954-07-16,0.8,,,,,
1954-07-19,0.8,,,,,
1954-07-20,0.8,,,,,
1954-07-21,0.8,,,,,
1954-07-22,0.8,,,,,
1954-07-23,0.8,,,,,
1954-07-26,0.8,,,,,
1954-07-27,0.8,,,,,
1954-07-28,0.8,,,,,
1954-07-29,0.8,,,,,
1954-07-30,0.8,,,,,
1954-08-02,0.8,,,,,
1954-08-03,0.8,,,,,
1954-08-04,0.8,,,,,
1954-08-05,0.8,,,,,
1954-08-06,0.8,,,,,
1954-08-09,0.8,,,,,
1954-08-10,0.8,,,,,
1954-08-11,0.8,,,,,
1954-08-12,0.8,,,,,
1954-08-13,0.8,,,,,
1954-08-16,0.8,,,,,
1954-08-17,0.8,,,,,
1954-08-18,0.8,,,,,
1954-08-19,0.8,,,,,
1954-08-20,0.8,,,,,
1954-08-23,0.8,,,,,
1954-08-24,0.8,,,,,
1954-08-25,0.8,,,,,
1954-08-26,0.8,,,,,
1954-08-27,0.8,,,,,
1954-08-30,0.8,,,,,
1954-08-31,0.8,,,,,
1954-09-01,1.07,,,,,
1954-09-02,1.07,,,,,
1954-09-03,1.07,,,,,
1954-09-06,1.07,,,,,
1954-09-07,1.07,,,,,
1954-09-08,1.07,,,,,
1954-09-09,1.07,,,,,
1954-09-10,1.07,,,,,
1954-09-13,1.07,,,,,
1954-09-14,1.07,,,,,
1954-09-15,1.07,,,,,
1954-09-16,1.07,,,,,
1954-09-17,1.07,,,,,
1954-09-20,1.07,,,,,
1954-09-21,1.07,,,,,
1954-09-22,1.07,,,,,
1954-09-23,1.07,,,,,
1954-09-24,1.07,,,,,
1954-09-27,1.07,,,,,
1954-09-28,1.07,,,,,
1954-09-29,1.07,,,,,
1954-09-30,1.07,,,,,
1954-10-01,0.85,,,,,
1954-10-04,0.85,,,,,
1954-10-05,0.85,,,,,
1954-10-06,0.85,,,,,
1954-10-07,0.85,,,,,
1954-10-08,0.85,,,,,
1954-10-11,0.85,,,,,
1954-10-12,0.85,,,,,
1954-10-13,0.85,,,,,
1954-10-14,0.85,,,,,
1954-10-15,0.85,,,,,
1954-10-18,0.85,,,,,
1954-10-19,0.85,,,,,
1954-10-20,0.85,,,,,
1954-10-21,0.85,,,,,
1954-10-22,0.85,,,,,
1954-10-25,0.85,,,,,
1954-10-26,0.85,,,,,
1954-10-27,0.85,,,,,
1954-10-28,0.85,,,,,
1954-10-29,0.85,,,,,
1954-11-01,0.83,,,,,
1954-11-02,0.83,,,,,
1954-11-03,0.83,,,,,
1954-11-04,0.83,,,,,
1954-11-05,0.83,,,,,
1954-11-08,0.83,,,,,
1954-11-09,0.83,,,,,
1954-11-10,0.83,,,,,
1954-11-11,0.83,,,,,
1954-11-12,0.83,,,,,
1954-11-15,0.83,,,,,
1954-11-16,0.83,,,,,
1954-11-17,0.83,,,,,
1954-11-18,0.83,,,,,
1954-11-19,0.83,,,,,
1954-11-22,0.83,,,,,
1954-11-23,0.83,,,,,
1954-11-24,0.83,,,,,
1954-11-25,0.83,,,,,
1954-11-26,0.83,,,,,
1954-11-29,0.83,,,,,
1954-11-30,0.83,,,,,
1954-12-01,1.28,,,,,
1954-12-02,1.28,,,,,
1954-12-03,1.28,,,,,
1954-12-06,1.28,,,,,
1954-12-07,1.28,,,,,
1954-12-08,1.28,,,,,
1954-12-09,1.28,,,,,
1954-12-10,1.28,,,,,
1954-12-13,1.28,,,,,
1954-12-14,1.28,,,,,
1954-12-15,1.28,,,,,
1954-12-16,1.28,,,,,
1954-12-17,1.28,,,,,
1954-12-20,1.28,,,,,
1954-12-21,1.28,,,,,
1954-12-22,1.28,,,,,
1954-12-23,1.28,,,,,
1954-12-24,1.28,,,,,
1954-12-27,1.28,,,,,
1954-12-28,1.28,,,,,
1954-12-29,1.28,,,,,
1954-12-30,1.28,,,,,
1954-12-31,1.28,,,,,
1955-01-03,1.28,,,,,
1955-01-04,1.28,,,,,
1955-01-05,1.28,,,,,
1955-01-06,1.28,,,,,
1955-01-07,1.28,,,,,
1955-01-10,1.28,,,,,
1955-01-11,1.28,,,,,
1955-01-12,1.28,,,,,
1955-01-13,1.28,,,,,
1955-01-14,1.28,,,,,
1955-01-17,1.28,,,,,
1955-01-18,1.28,,,,,
1955-01-19,1.28,,,,,
1955-01-20,1.28,,,,,
1955-01-21,1.28,,,,,
1955-01-24,1.28,,,,,
1955-01-25,1.28,,,,,
1955-01-26,1.28,,,,,
1955-01-27,1.28,,,,,
1955-01-28,1.28,,,,,
1955-01-31,1.28,,,,,
1955-02-01,1.29,,,,,
1955-02-02,1.29,,,,,
1955-02-03,1.29,,,,,
1955-02-04,1.29,,,,,
1955-02-07,1.29,,,,,
1955-02-08,1.29,,,,,
1955-02-09,1.29,,,,,
1955-02-10,1.29,,,,,
1955-02-11,1.29,,,,,
1955-02-14,1.29,,,,,
1955-02-15,1.29,,,,,
1955-02-16,1.29,,,,,
1955-02-17,1.29,,,,,
1955-02-18,1.29,,,,,
1955-02-21,1.29,,,,,
1955-02-22,1.29,,,,,
1955-02-23,1.29,,,,,
1955-02-24,1.29,,,,,
1955-02-25,1.29,,,,,
1955-02-28,1.29,,,,,
1955-03-01,1.35,,,,,
1955-03-02,1.35,,,,,
1955-03-03,1.35,,,,,
1955-03-04,1.35,,,,,
1955-03-07,1.35,,,,,
1955-03-08,1.35,,,,,
1955-03-09,1.35,,,,,
1955-03-10,1.35,,,,,
1955-03-11,1.35,,,,,
1955-03-14,1.35,,,,,
1955-03-15,1.35,,,,,
1955-03-16,1.35,,,,,
1955-03-17,1.35,,,,,
1955-03-18,1.35,,,,,
1955-03-21,1.35,,,,,
1955-03-22,1.35,,,,,
1955-03-23,1.35,,,,,
1955-03-24,1.35,,,,,
1955-03-25,1.35,,,,,
1955-03-28,1.35,,,,,
1955-03-29,1.35,,,,,
1955-03-30,1.35,,,,,
1955-03-31,1.35,,,,,
1955-04-01,1.43,,,,,
1955-04-04,1.43,,,,,
1955-04-05,1.43,,,,,
1955-04-06,1.43,,,,,
1955-04-07,1.43,,,,,
1955-04-08,1.43,,,,,
1955-04-11,1.43,,,,,
1955-04-12,1.43,,,,,
1955-04-13,1.43,,,,,
1955-04-14,1.43,,,,,
1955-04-15,1.43,,,,,
1955-04-18,1.43,,,,,
1955-04-19,1.43,,,,,
1955-04-20,1.43,,,,,
1955-04-21,1.43,,,,,
1955-04-22,1.43,,,,,
1955-04-25,1.43,,,,,
1955-04-26,1.43,,,,,
1955-04-27,1.43,,,,,
1955-04-28,1.43,,,,,
1955-04-29,1.43,,,,,
1955-05-02,1.43,,,,,
1955-05-03,1.43,,,,,
1955-05-04,1.43,,,,,
1955-05-05,1.43,,,,,
1955-05-06,1.43,,,,,
1955-05-09,1.43,,,,,
1955-05-10,1.43,,,,,
1955-05-11,1.43,,,,,
1955-05-12,1.43,,,,,
1955-05-13,1.43,,,,,
1955-05-16,1.43,,,,,
1955-05-17,1.43,,,,,
1955-05-18,1.43,,,,,
1955-05-19,1.43,,,,,
1955-05-20,1.43,,,,,
1955-05-23,1.43,,,,,
1955-05-24,1.43,,,,,
1955-05-25,1.43,,,,,
1955-05-26,1.43,,,,,
1955-05-27,1.43,,,,,
1955-05-30,1.43,,,,,
1955-05-31,1.43,,,,,
1955-06-01,1.64,,,,,
1955-06-02,1.64,,,,,
1955-06-03,1.64,,,,,
1955-06-06,1.64,,,,,
1955-06-07,1.64,,,,,
1955-06-08,1.64,,,,,
1955-06-09,1.64,,,,,
1955-06-10,1.64,,,,,
1955-06-13,1.64,,,,,
1955-06-14,1.64,,,,,
1955-06-15,1.64,,,,,
1955-06-16,1.64,,,,,
1955-06-17,1.64,,,,,
1955-06-20,1.64,,,,,
1955-06-21,1.64,,,,,
1955-06-22,1.64,,,,,
1955-06-23,1.64,,,,,
1955-06-24,1.64,,,,,
1955-06-27,1.64,,,,,
1955-06-28,1.64,,,,,
1955-06-29,1.64,,,,,
1955-06-30,1.64,,,,,
1955-07-01,1.68,,,,,
1955-07-04,1.68,,,,,
1955-07-05,1.68,,,,,
1955-07-06,1.68,,,,,
1955-07-07,1.68,,,,,
1955-07-08,1.68,,,,,
1955-07-11,1.68,,,,,
1955-07-12,1.68,,,,,
1955-07-13,1.68,,,,,
1955-07-14,1.68,,,,,
1955-07-15,1.68,,,,,
1955-07-18,1.68,,,,,
1955-07-19,1.68,,,,,
1955-07-20,1.68,,,,,
1955-07-21,1.68,,,,,
1955-07-22,1.68,,,,,
1955-07-25,1.68,,,,,
1955-07-26,1.68,,,,,
1955-07-27,1.68,,,,,
1955-07-28,1.68,,,,,
1955-07-29,1.68,,,,,
1955-08-01,1.96,,,,,
1955-08-02,1.96,,,,,
1955-08-03,1.96,,,,,
1955-08-04,1.96,,,,,
1955-08-05,1.96,,,,,
1955-08-08,1.96,,,,,
1955-08-09,1.96,,,,,
1955-08-10,1.96,,,,,
1955-08-11,1.96,,,,,
1955-08-12,1.96,,,,,
1955-08-15,1.96,,,,,
1955-08-16,1.96,,,,,
1955-08-17,1.96,,,,,
1955-08-18,1.96,,,,,
1955-08-19,1.96,,,,,
1955-08-22,1.96,,,,,
1955-08-23,1.96,,,,,
1955-08-24,1.96,,,,,
1955-08-25,1.96,,,,,
1955-08-26,1.96,,,,,
1955-08-29,1.96,,,,,
1955-08-30,1.96,,,,,
1955-08-31,1.96,,,,,
1955-09-01,2.18,,,,,
1955-09-02,2.18,,,,,
1955-09-05,2.18,,,,,
1955-09-06,2.18,,,,,
1955-09-07,2.18,,,,,
1955-09-08,2.18,,,,,
1955-09-09,2.18,,,,,
1955-09-12,2.18,,,,,
1955-09-13,2.18,,,,,
1955-09-14,2.18,,,,,
1955-09-15,2.18,,,,,
1955-09-16,2.18,,,,,
1955-09-19,2.18,,,,,
1955-09-20,2.18,,,,,
1955-09-21,2.18,,,,,
1955-09-22,2.18,,,,,
1955-09-23,2.18,,,,,
1955-09-26,2.18,,,,,
1955-09-27,2.18,,,,,
1955-09-28,2.18,,,,,
1955-09-29,2.18,,,,,
1955-09-30,2.18,,,,,
1955-10-03,2.18,,,,,
1955-10-04,2.18,,,,,
1955-10-05,2.18,,,,,
1955-10-06,2.18,,,,,
1955-10-07,2.18,,,,,
1955-10-10,2.18,,,,,
1955-10-11,2.18,,,,,
1955-10-12,2.18,,,,,
1955-10-13,2.18,,,,,
1955-10-14,2.18,,,,,
1955-10-17,2.18,,,,,
1955-10-18,2.18,,,,,
1955-10-19,2.18,,,,,
1955-10-20,2.18,,,,,
1955-10-21,2.18,,,,,
1955-10-24,2.18,,,,,
1955-10-25,2.18,,,,,
1955-10-26,2.18,,,,,
1955-10-27,2.18,,,,,
1955-10-28,2.18,,,,,
1955-10-31,2.18,,,,,
1955-11-01,2.35,,,,,
1955-11-02,2.35,,,,,
1955-11-03,2.35,,,,,
1955-11-04,2.35,,,,,
1955-11-07,2.35,,,,,
1955-11-08,2.35,,,,,
1955-11-09,2.35,,,,,
1955-11-10,2.35,,,,,
1955-11-11,2.35,,,,,
1955-11-14,2.35,,,,,
1955-11-15,2.35,,,,,
1955-11-16,2.35,,,,,
1955-11-17,2.35,,,,,
1955-11-18,2.35,,,,,
1955-11-21,2.35,,,,,
1955-11-22,2.35,,,,,
1955-11-23,2.35,,,,,
1955-11-24,2.35,,,,,
1955-11-25,2.35,,,,,
1955-11-28,2.35,,,,,
1955-11-29,2.35,,,,,
1955-11-30,2.35,,,,,
1955-12-01,2.48,,,,,
1955-12-02,2.48,,,,,
1955-12-05,2.48,,,,,
1955-12-06,2.48,,,,,
1955-12-07,2.48,,,,,
1955-12-08,2.48,,,,,
1955-12-09,2.48,,,,,
1955-12-12,2.48,,,,,
1955-12-13,2.48,,,,,
1955-12-14,2.48,,,,,
1955-12-15,2.48,,,,,
1955-12-16,2.48,,,,,
1955-12-19,2.48,,,,,
1955-12-20,2.48,,,,,
1955-12-21,2.48,,,,,
1955-12-22,2.48,,,,,
1955-12-23,2.48,,,,,
1955-12-26,2.48,,,,,
1955-12-27,2.48,,,,,
1955-12-28,2.48,,,,,
1955-12-29,2.48,,,,,
1955-12-30,2.48,,,,,
1956-01-02,2.48,,,,,
1956-01-03,2.48,,,,,
1956-01-04,2.48,,,,,
1956-01-05,2.48,,,,,
1956-01-06,2.48,,,,,
1956-01-09,2.48,,,,,
1956-01-10,2.48,,,,,
1956-01-11,2.48,,,,,
1956-01-12,2.48,,,,,
1956-01-13,2.48,,,,,
1956-01-16,2.48,,,,,
1956-01-17,2.48,,,,,
1956-01-18,2.48,,,,,
1956-01-19,2.48,,,,,
1956-01-20,2.48,,,,,
1956-01-23,2.48,,,,,
1956-01-24,2.48,,,,,
1956-01-25,2.48,,,,,
1956-01-26,2.48,,,,,
1956-01-27,2.48,,,,,
1956-01-30,2.48,,,,,
1956-01-31,2.48,,,,,
1956-02-01,2.5,,,,,
1956-02-02,2.5,,,,,
1956-02-03,2.5,,,,,
1956-02-06,2.5,,,,,
1956-02-07,2.5,,,,,
1956-02-08,2.5,,,,,
1956-02-09,2.5,,,,,
1956-02-10,2.5,,,,,
1956-02-13,2.5,,,,,
1956-02-14,2.5,,,,,
1956-02-15,2.5,,,,,
1956-02-16,2.5,,,,,
1956-02-17,2.5,,,,,
1956-02-20,2.5,,,,,
1956-02-21,2.5,,,,,
1956-02-22,2.5,,,,,
1956-02-23,2.5,,,,,
1956-02-24,2.5,,,,,
1956-02-27,2.5,,,,,
